row_id	exact_path	symbol_or_component	current_callers	current_dependency_direction	current_runtime_role	current_authority_claim	phase_17_relevance	disposition	rationale
P17-L-073	platform-app/src/main/java/com/example/platform/ingest/preflight/ffprobe/FFprobeMediaMetadataProvider.java	FFprobeMediaMetadataProvider	platform-app/src/main/java/com/example/platform/ingest/preflight/IngestMetadataMerger.java<br>platform-app/src/test/java/com/example/platform/ingest/preflight/IngestMetadataMergerTest.java<br>platform-app/src/test/java/com/example/platform/ingest/preflight/UploadReportOnlyPreflightHookIntegrationTest.java<br>platform-app/src/test/java/com/example/platform/ingest/preflight/UploadReportOnlyPreflightHookTest.java<br>platform-app/src/test/java/com/example/platform/ingest/preflight/ffprobe/FFprobeMediaMetadataProviderTest.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-074	platform-app/src/test/java/com/example/platform/SandboxRuntimeConvergenceTest.java	SandboxRuntimeConvergenceTest	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	test evidence	no runtime authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-075	render-module/src/main/java/com/example/platform/render/app/aaf/AafConversionService.java	AafConversionService	platform-app/src/main/java/com/example/platform/web/media/McpMediaToolsController.java<br>render-module/src/main/java/com/example/platform/render/app/aaf/AafConversionWorkerProcessor.java<br>render-module/src/test/java/com/example/platform/render/app/aaf/AafConversionServiceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-076	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueJobSpec.java	OpenCueJobSpec	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueJobSpecValidator.java<br>render-module/src/test/java/com/example/platform/render/domain/environment/OpenCueJobSpecValidatorTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-077	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueJobSpecValidator.java	OpenCueJobSpecValidator	render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueExecutionEnvironment.java<br>render-module/src/test/java/com/example/platform/render/domain/environment/OpenCueJobSpecValidatorTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-078	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueProperties.java	OpenCueProperties	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueJobSpecValidator.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/RenderModuleConfiguration.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/DefaultOpenCueSubmissionClient.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentCompiler.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueExecutionEnvironment.java<br>render-module/src/test/java/com/example/platform/render/domain/environment/OpenCueJobSpecValidatorTest.java<br>render-module/src/test/java/com/example/platform/render/domain/environment/OpenCuePropertiesTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-079	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueSubmissionClient.java	OpenCueSubmissionClient	render-module/src/main/java/com/example/platform/render/infrastructure/environment/DefaultOpenCueSubmissionClient.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueExecutionEnvironment.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-080	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueSubmissionError.java	OpenCueSubmissionError	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueSubmissionResult.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/DefaultOpenCueSubmissionClient.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueExecutionEnvironment.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-081	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueSubmissionRequest.java	OpenCueSubmissionRequest	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueSubmissionClient.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/DefaultOpenCueSubmissionClient.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueExecutionEnvironment.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-082	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueSubmissionResult.java	OpenCueSubmissionResult	render-module/src/main/java/com/example/platform/render/domain/environment/OpenCueSubmissionClient.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/DefaultOpenCueSubmissionClient.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueExecutionEnvironment.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-083	render-module/src/main/java/com/example/platform/render/domain/remotion/RemotionSandboxPolicy.java	RemotionSandboxPolicy	render-module/src/main/java/com/example/platform/render/domain/remotion/RemotionExecutionPolicyEvaluator.java<br>render-module/src/main/java/com/example/platform/render/domain/remotion/RemotionLocalExecutionRequest.java<br>render-module/src/main/java/com/example/platform/render/domain/remotion/RemotionLocalExecutionRunner.java<br>render-module/src/test/java/com/example/platform/render/domain/remotion/RemotionExecutionPolicyTest.java<br>render-module/src/test/java/com/example/platform/render/domain/remotion/RemotionLocalExecutionAuditTest.java<br>render-module/src/test/java/com/example/platform/render/domain/remotion/RemotionLocalExecutionRunnerTest.java	CALLERS_DEPEND_ON_COMPONENT	related existing surface	no Phase 17 canonical authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-084	c058e187cfbb2fdb8037aca21ae333a7df27a4bb:render-module/src/main/java/com/example/platform/render/infrastructure/FFprobeMediaProbeAdapter.java	FFprobeMediaProbeAdapter	CALLERS_REMOVED_BY_PHASE19_C3	HISTORICAL_SOURCE_ONLY	deleted legacy render probe authority	no retained sandbox authority	DIRECT	DELETE_SHADOW	Phase 19 C3 deletes the render ffprobe process adapter
P17-L-085	c058e187cfbb2fdb8037aca21ae333a7df27a4bb:render-module/src/main/java/com/example/platform/render/infrastructure/FfmpegEnvironmentCheck.java	FfmpegEnvironmentCheck	CALLERS_REMOVED_BY_PHASE19_C3	HISTORICAL_SOURCE_ONLY	deleted legacy render environment probe	no retained sandbox authority	DIRECT	DELETE_SHADOW	Phase 19 C3 deletes the direct render FFmpeg environment probe
P17-L-086	553b96875d415d3a150ef90e14da37791a714d35:render-module/src/main/java/com/example/platform/render/infrastructure/NodeEnvironmentCheck.java	NodeEnvironmentCheck	CALLERS_REMOVED_BY_PHASE20_P20_I7	HISTORICAL_SOURCE_ONLY	deleted ambient render Node process probe	no retained sandbox or process-launch authority	DIRECT	DELETE_SHADOW	Phase20 P20-I7 deletes the ambient Node ProcessBuilder probe; the original Phase17 retained classification remains historical
P17-L-087	553b96875d415d3a150ef90e14da37791a714d35:render-module/src/main/java/com/example/platform/render/infrastructure/RemotionEnvironmentCheck.java	RemotionEnvironmentCheck	CALLERS_REMOVED_BY_PHASE20_P20_I7	HISTORICAL_SOURCE_ONLY	deleted ambient render Remotion process probe	no retained sandbox or process-launch authority	DIRECT	DELETE_SHADOW	Phase20 P20-I7 deletes the ambient Remotion ProcessBuilder probe; the original Phase17 retained classification remains historical
P17-L-088	553b96875d415d3a150ef90e14da37791a714d35:render-module/src/main/java/com/example/platform/render/infrastructure/RenderToolCapabilityInventory.java	RenderToolCapabilityInventory	CALLERS_REMOVED_BY_PHASE20_P20_I7	HISTORICAL_SOURCE_ONLY	deleted ambient render global native-tool version inventory	no retained sandbox, dispatch, or native-tool platform authority	DIRECT	DELETE_SHADOW	Phase20 P20-I7 deletes the ambient global native-tool ProcessBuilder inventory and migrates its callers; the original Phase17 retained classification remains historical
P17-L-089	c058e187cfbb2fdb8037aca21ae333a7df27a4bb:render-module/src/main/java/com/example/platform/render/infrastructure/asset/provider/FfprobeMetadataProvider.java	FfprobeMetadataProvider	CALLERS_REMOVED_BY_PHASE19_C3	HISTORICAL_SOURCE_ONLY	deleted legacy asset probe authority	no retained sandbox authority	DIRECT	DELETE_SHADOW	Phase 19 C3 deletes the direct asset ffprobe provider and its test
P17-L-090	render-module/src/main/java/com/example/platform/render/infrastructure/environment/DefaultOpenCueSubmissionClient.java	DefaultOpenCueSubmissionClient	render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-091	render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentCompiler.java	OpenCueEnvironmentCompiler	render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-092	render-module/src/main/java/com/example/platform/render/infrastructure/environment/OpenCueExecutionEnvironment.java	OpenCueExecutionEnvironment	render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-093	render-module/src/main/java/com/example/platform/render/infrastructure/font/FontToolsMetadataExtractor.java	FontToolsMetadataExtractor	render-module/src/test/java/com/example/platform/render/infrastructure/font/FontToolAdapterSkeletonTest.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-094	render-module/src/main/java/com/example/platform/render/infrastructure/font/PyftsubsetFontSubsetter.java	PyftsubsetFontSubsetter	render-module/src/test/java/com/example/platform/render/infrastructure/font/FontToolAdapterSkeletonTest.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-095	c058e187cfbb2fdb8037aca21ae333a7df27a4bb:render-module/src/main/java/com/example/platform/render/infrastructure/queue/FFmpegSimpleProvider.java	FFmpegSimpleProvider	CALLERS_REMOVED_BY_PHASE19_C3	HISTORICAL_SOURCE_ONLY	deleted legacy queue provider authority	no retained sandbox authority	DIRECT	DELETE_SHADOW	Phase 19 C3 deletes the shadow queue provider
P17-L-096	render-module/src/main/java/com/example/platform/render/infrastructure/remotion/CliRemotionRenderer.java	CliRemotionRenderer	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-097	c058e187cfbb2fdb8037aca21ae333a7df27a4bb:render-module/src/main/java/com/example/platform/render/infrastructure/renderplan/FFmpegTool.java	FFmpegTool	CALLERS_REMOVED_BY_PHASE19_C3	HISTORICAL_SOURCE_ONLY	deleted legacy render-plan tool authority	no retained sandbox authority	DIRECT	DELETE_SHADOW	Phase 19 C3 deletes the shadow render-plan FFmpeg tool and router execution path
P17-L-098	c058e187cfbb2fdb8037aca21ae333a7df27a4bb:render-module/src/main/java/com/example/platform/render/infrastructure/smoke/BasicRenderPlanLocalRunner.java	BasicRenderPlanLocalRunner	CALLERS_REMOVED_BY_PHASE19_C3	HISTORICAL_SOURCE_ONLY	deleted legacy local smoke execution authority	no retained sandbox authority	DIRECT	DELETE_SHADOW	Phase 19 C3 replaces local direct-execution acceptance with external PF4J provider conformance
P17-L-099	render-module/src/main/java/com/example/platform/render/infrastructure/smoke/LocalProcessRunner.java	LocalProcessRunner	render-module/src/main/java/com/example/platform/render/infrastructure/smoke/BasicRenderPlanLocalRunner.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/smoke/LocalFfprobeValidator.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/smoke/LocalMediaSourceFixtureGenerator.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/smoke/LocalRenderSmokeHarness.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-100	c058e187cfbb2fdb8037aca21ae333a7df27a4bb:render-module/src/main/java/com/example/platform/render/infrastructure/smoke/LocalRenderSmokeHarness.java	LocalRenderSmokeHarness	CALLERS_REMOVED_BY_PHASE19_C3	HISTORICAL_SOURCE_ONLY	deleted legacy local smoke execution authority	no retained sandbox authority	DIRECT	DELETE_SHADOW	Phase 19 C3 replaces the direct smoke harness with real modular/all-in-one provider conformance
P17-L-101	render-module/src/test/java/com/example/platform/render/domain/environment/OpenCueJobSpecValidatorTest.java	OpenCueJobSpecValidatorTest	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	test evidence	no runtime authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-102	render-module/src/test/java/com/example/platform/render/domain/environment/OpenCuePropertiesTest.java	OpenCuePropertiesTest	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	test evidence	no runtime authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-103	render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueEnvironmentTest.java	OpenCueEnvironmentTest	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	test evidence	no runtime authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-104	render-module/src/test/java/com/example/platform/render/infrastructure/environment/OpenCueSubmissionSliceTest.java	OpenCueSubmissionSliceTest	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	test evidence	no runtime authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-105	sandbox-worker/Dockerfile	Dockerfile	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-106	sandbox-worker/bin/main/application.yml	application	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-107	sandbox-worker/build.gradle.kts	build.gradle	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-108	sandbox-worker/src/main/java/com/example/platform/sandbox/worker/SandboxWorkerApplication.java	SandboxWorkerApplication	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-109	sandbox-worker/src/main/java/com/example/platform/sandbox/worker/api/SandboxWorkerController.java	SandboxWorkerController	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-110	sandbox-worker/src/main/java/com/example/platform/sandbox/worker/app/SandboxExecutionResult.java	SandboxExecutionResult	sandbox-worker/src/main/java/com/example/platform/sandbox/worker/api/SandboxWorkerController.java<br>sandbox-worker/src/main/java/com/example/platform/sandbox/worker/app/SandboxExecutionService.java<br>sandbox-worker/src/test/java/com/example/platform/sandbox/worker/app/SandboxExecutionServiceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-111	sandbox-worker/src/main/java/com/example/platform/sandbox/worker/app/SandboxExecutionService.java	SandboxExecutionService	extension-module/src/main/java/com/example/platform/extension/app/SandboxExecutionService.java<br>extension-module/src/test/java/com/example/platform/extension/app/ExtensionRegistryServiceTest.java<br>extension-module/src/test/java/com/example/platform/extension/app/ExtensionRegistryServiceV2Test.java<br>extension-module/src/test/java/com/example/platform/extension/app/SandboxExecutionServiceTest.java<br>platform-app/src/main/java/com/example/platform/lifecycle/PlatformGracefulShutdownCoordinator.java<br>sandbox-worker/src/main/java/com/example/platform/sandbox/worker/api/SandboxWorkerController.java<br>sandbox-worker/src/test/java/com/example/platform/sandbox/worker/app/SandboxExecutionServiceTest.java<br>workflow-module/src/main/java/com/example/platform/workflow/temporal/UserWorkflowExecutionActivitiesImpl.java<br>workflow-module/src/test/java/com/example/platform/workflow/execution/architecture/UserWorkflowExecutionArchitectureGuardTest.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-112	sandbox-worker/src/main/java/com/example/platform/sandbox/worker/config/SandboxWorkerConfig.java	SandboxWorkerConfig	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-113	sandbox-worker/src/main/java/com/example/platform/sandbox/worker/config/SandboxWorkerProperties.java	SandboxWorkerProperties	sandbox-worker/src/main/java/com/example/platform/sandbox/worker/app/SandboxExecutionService.java<br>sandbox-worker/src/main/java/com/example/platform/sandbox/worker/config/SandboxWorkerConfig.java<br>sandbox-worker/src/test/java/com/example/platform/sandbox/worker/app/SandboxExecutionServiceTest.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-114	sandbox-worker/src/main/resources/application.yml	application	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-115	sandbox-worker/src/test/java/com/example/platform/sandbox/worker/app/SandboxExecutionServiceTest.java	SandboxExecutionServiceTest	extension-module/src/test/java/com/example/platform/extension/app/SandboxExecutionServiceTest.java	CALLERS_DEPEND_ON_COMPONENT	test evidence	no runtime authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-116	typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/tables/SandboxExecutionJob.java	SandboxExecutionJob	typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/Indexes.java<br>typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/Keys.java<br>typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/Public.java<br>typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/Tables.java<br>typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/tables/records/SandboxExecutionJobRecord.java	CALLERS_DEPEND_ON_COMPONENT	generated persistence projection	schema projection, not Phase 17 authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-117	typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/tables/records/SandboxExecutionJobRecord.java	SandboxExecutionJobRecord	typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/Keys.java<br>typed-schema-module/src/main/java/com/example/platform/typedschema/jooq/generated/tables/SandboxExecutionJob.java	CALLERS_DEPEND_ON_COMPONENT	generated persistence projection	schema projection, not Phase 17 authority	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-118	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/ArtifactCommitEvidencePort.java	ArtifactCommitEvidencePort	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/CompletionFence.java<br>worker-fabric-module/src/test/java/com/example/platform/workerfabric/domain/TaskFArchitectureGuardTest.java<br>worker-fabric-module/src/test/java/com/example/platform/workerfabric/domain/TaskFTestFixture.java	CALLERS_DEPEND_ON_COMPONENT	existing worker-fabric authority or bounded capability input	existing Artifact/fencing/runtime eligibility authority	DIRECT	REUSE_AS_CANONICAL	already owns the correct bounded authority; Phase 17 composes without duplication
P17-L-119	worker-fabric-module/src/main/java/com/example/platform/workerfabric/domain/CompletionFence.java	CompletionFence	worker-fabric-module/src/test/java/com/example/platform/workerfabric/domain/BackendIntegrationContractTest.java<br>worker-fabric-module/src/test/java/com/example/platform/workerfabric/domain/CompletionFenceTest.java<br>worker-fabric-module/src/test/java/com/example/platform/workerfabric/domain/ExecutionObservationContractTest.java<br>worker-fabric-module/src/test/java/com/example/platform/workerfabric/domain/TaskFArchitectureGuardTest.java<br>worker-fabric-module/src/test/java/com/example/platform/workerfabric/domain/TaskGArchitectureGuardTest.java	CALLERS_DEPEND_ON_COMPONENT	existing worker-fabric authority or bounded capability input	existing Artifact/fencing/runtime eligibility authority	DIRECT	REUSE_AS_CANONICAL	already owns the correct bounded authority; Phase 17 composes without duplication
